[(2019-10-26 07:26:40,725) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:27:15,701) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:27:15,701) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:27:15,701) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:27:15,702) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:27:45,820) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:27:45,820) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:27:45,821) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:27:45,821) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:28:21,307) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:28:21,307) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:28:21,308) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:28:21,308) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:28:49,566) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:28:49,566) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:28:49,567) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:28:49,567) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:29:21,029) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:29:21,029) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:29:21,029) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:29:21,030) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:30:07,987) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:30:07,987) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:30:07,987) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:30:07,987) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:33:21,494) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:33:21,494) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:33:21,494) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:33:21,495) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:35:46,331) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:35:46,331) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:35:46,331) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:35:46,332) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:36:23,239) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:36:23,239) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:36:23,239) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:36:23,239) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:50:10,943) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:50:10,943) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:50:10,943) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:50:10,944) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:51:08,213) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:51:08,213) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:51:08,213) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:51:08,214) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:54:29,205) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:54:29,205) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:54:29,206) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:54:29,206) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:55:13,982) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:55:13,982) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:55:13,983) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:55:13,983) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:55:37,110) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:55:37,110) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:55:37,110) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:55:37,110) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:56:20,797) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:56:20,797) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:56:20,797) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:56:20,798) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:57:20,206) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:57:20,206) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:57:20,207) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:57:20,207) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:57:37,696) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:57:37,696) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:57:37,696) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:57:37,697) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:58:06,873) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:58:06,873) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:58:06,874) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:58:06,874) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:59:05,712) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:59:05,712) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:59:05,712) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:59:05,713) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 07:59:39,122) (main:43) : INFO] "637451243459051522"
[(2019-10-26 07:59:39,122) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 07:59:39,122) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 07:59:39,122) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 08:01:48,560) (main:43) : INFO] "637451243459051522"
[(2019-10-26 08:01:48,560) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 08:01:48,561) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 08:01:48,561) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 08:02:13,494) (main:43) : INFO] "637451243459051522"
[(2019-10-26 08:02:13,494) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 08:02:13,494) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 08:02:13,494) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 08:02:55,760) (main:43) : INFO] "637451243459051522"
[(2019-10-26 08:02:55,760) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-26 08:02:55,761) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 08:02:55,762) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-27 23:57:54,054) (main:43) : INFO] "637451243459051522"
[(2019-10-27 23:57:54,055) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-27 23:57:54,057) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-27 23:57:54,057) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:00:23,899) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:00:23,899) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:00:23,900) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:00:23,900) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:02:26,597) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:02:26,597) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:02:26,597) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:02:26,597) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:02:46,437) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:02:46,437) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:02:46,437) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:02:46,438) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:05:20,058) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:05:20,058) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:05:20,058) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:05:20,059) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:05:40,364) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:05:40,364) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:05:40,365) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:05:40,365) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:06:37,444) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:06:37,444) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:06:37,444) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:06:37,444) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:08:35,145) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:08:35,145) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:08:35,145) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:08:35,146) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:09:37,612) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:09:37,612) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:09:37,612) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:09:37,613) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:10:33,485) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:10:33,485) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:10:33,485) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:10:33,486) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:10:46,593) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:10:46,593) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:10:46,593) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:10:46,594) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:11:06,112) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:11:06,112) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:11:06,112) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-28 00:11:06,113) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-28 00:21:38,104) (main:43) : INFO] "637451243459051522"
[(2019-10-28 00:21:38,104) (main:44) : INFO] "The bot started successfully! :)"
[(2019-10-28 00:21:38,104) (main:45) : DEBUG] "Looking through all servers to make sure members and server data is correct"
